,Company,Compound,Date,Negative,Neutral,Positive,Tweets Ago
274,@CNN,-0.0516,Thu Oct 04 22:26:58 +0000 2018,0.684,0.162,0.154,75
275,@CNN,0.0,Thu Oct 04 22:21:03 +0000 2018,1.0,0.0,0.0,76
276,@CNN,0.7906,Thu Oct 04 22:11:11 +0000 2018,0.708,0.0,0.292,77
277,@CNN,-0.296,Thu Oct 04 22:01:06 +0000 2018,0.568,0.25,0.182,78
278,@CNN,0.0,Thu Oct 04 21:57:22 +0000 2018,1.0,0.0,0.0,79
279,@CNN,0.0,Thu Oct 04 21:51:06 +0000 2018,1.0,0.0,0.0,80
280,@CNN,-0.3612,Thu Oct 04 21:41:03 +0000 2018,0.865,0.135,0.0,81
281,@CNN,-0.1027,Thu Oct 04 21:31:04 +0000 2018,0.92,0.08,0.0,82
282,@CNN,-0.5267,Thu Oct 04 21:21:03 +0000 2018,0.833,0.167,0.0,83
283,@CNN,0.0,Thu Oct 04 21:16:00 +0000 2018,1.0,0.0,0.0,84
284,@CNN,0.2023,Thu Oct 04 21:15:08 +0000 2018,0.909,0.0,0.091,85
285,@CNN,0.5719,Thu Oct 04 21:11:04 +0000 2018,0.791,0.0,0.209,86
286,@CNN,-0.7845,Thu Oct 04 21:04:40 +0000 2018,0.761,0.239,0.0,87
287,@CNN,-0.5719,Thu Oct 04 21:01:06 +0000 2018,0.759,0.177,0.063,88
288,@CNN,0.25,Thu Oct 04 20:51:05 +0000 2018,0.905,0.0,0.095,89
289,@CNN,-0.6806,Thu Oct 04 20:47:40 +0000 2018,0.772,0.228,0.0,90
290,@CNN,0.0,Thu Oct 04 20:46:00 +0000 2018,1.0,0.0,0.0,91
291,@CNN,-0.5719,Thu Oct 04 20:42:01 +0000 2018,0.85,0.15,0.0,92
292,@CNN,0.5719,Thu Oct 04 20:31:04 +0000 2018,0.837,0.0,0.163,93
293,@CNN,0.5994,Thu Oct 04 20:26:41 +0000 2018,0.804,0.0,0.196,94
294,@CNN,0.3595,Thu Oct 04 20:21:59 +0000 2018,0.83,0.0,0.17,95
295,@CNN,-0.4215,Thu Oct 04 20:21:02 +0000 2018,0.872,0.128,0.0,96
296,@CNN,-0.25,Thu Oct 04 20:18:13 +0000 2018,0.913,0.087,0.0,97
297,@CNN,0.4019,Thu Oct 04 20:15:46 +0000 2018,0.732,0.093,0.176,98
298,@CNN,-0.6705,Thu Oct 04 20:10:53 +0000 2018,0.791,0.209,0.0,99
299,@CNN,0.1027,Thu Oct 04 20:07:36 +0000 2018,0.756,0.092,0.151,100
300,@FoxNews,0.0,Fri Oct 05 05:23:00 +0000 2018,1.0,0.0,0.0,1
301,@FoxNews,0.0,Fri Oct 05 05:15:00 +0000 2018,1.0,0.0,0.0,2
302,@FoxNews,-0.0772,Fri Oct 05 05:08:00 +0000 2018,0.909,0.091,0.0,3
303,@FoxNews,-0.4588,Fri Oct 05 05:00:02 +0000 2018,0.85,0.15,0.0,4
